Product_ID,Product_Name,Category,Store_ID,Store_Name,Region,Current_Price,Competitor_Price,Unit_Cost,Price_Adjustment_Percent,Candidate_Price,Predicted_Demand,Expected_Revenue,Expected_Profit,Price_Change_Percent,Competitor_Gap_Percent,Guardrail_Status,Is_Feasible
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-15,2549.15,80.36,204850.1,63944.18,-15.0,-21.75,VIOLATED: Exceeds max price decrease limit (-10.0%),False
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-14,2579.14,80.36,207260.11,66354.19,-14.0,-20.83,VIOLATED: Exceeds max price decrease limit (-10.0%),False
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-13,2609.13,81.09,211580.35,69390.68,-13.0,-19.9,VIOLATED: Exceeds max price decrease limit (-10.0%),False
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-12,2639.12,81.09,214012.31,71822.64,-12.0,-18.98,VIOLATED: Exceeds max price decrease limit (-10.0%),False
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-11,2669.11,80.6,215124.32,73801.77,-11.0,-18.06,VIOLATED: Exceeds max price decrease limit (-10.0%),False
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-10,2699.1,80.36,216907.98,75996.95,-10.0,-17.14,VIOLATED: Exceeds max price decrease limit (-10.0%),False
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-9,2729.09,80.36,219318.07,78407.04,-9.0,-16.22,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-8,2759.08,78.95,217815.61,79391.05,-8.0,-15.3,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-7,2789.07,78.95,220183.17,81758.61,-7.0,-14.38,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-6,2819.06,78.55,221434.59,83704.26,-6.0,-13.46,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-5,2849.05,78.55,223790.28,86059.95,-5.0,-12.54,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-4,2879.04,78.74,226681.28,88624.93,-4.0,-11.62,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-3,2909.03,78.74,229042.55,90986.2,-3.0,-10.7,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-2,2939.02,77.27,227102.53,91612.34,-2.0,-9.78,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,-1,2969.01,76.98,228554.97,93575.59,-1.0,-8.86,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,0,2999.0,76.98,230863.6,95884.22,0.0,-7.94,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,1,3028.99,75.28,228032.44,96028.4,1.0,-7.02,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,2,3058.98,75.28,230290.19,98286.15,2.0,-6.09,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,3,3088.97,75.28,232547.93,100543.89,3.0,-5.17,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,4,3118.96,74.65,232816.88,101930.91,4.0,-4.25,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,5,3148.95,74.65,235055.5,104169.53,5.0,-3.33,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,6,3178.94,74.5,236835.15,106202.34,6.0,-2.41,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,7,3208.93,72.99,234218.74,106236.46,7.0,-1.49,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,8,3238.92,73.18,237016.53,108704.66,8.0,-0.57,PASSED,True
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,North,2999.0,3257.52,1753.43,9,3268.91,73.18,239211.13,110899.26,9.0,0.35,PASSED,True
