Date,Product_ID,Product_Name,Store_ID,Category,Our_Price,Actual_Demand,Forecast_XGBoost,Forecast_Error
2025-09-17,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2879.04,55,52.5,-2.5
2025-09-18,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2939.02,55,51.0,-4.0
2025-09-19,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2879.04,59,61.8,2.799999237060547
2025-09-20,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,71,66.9,-4.099998474121094
2025-09-21,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,64,66.5,2.5
2025-09-22,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,50,50.1,0.09999847412109375
2025-09-23,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2699.1,72,77.4,5.400001525878906
2025-09-24,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,52,51.4,-0.5999984741210938
2025-09-25,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,58,51.6,-6.400001525878906
2025-09-26,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2939.02,55,61.8,6.799999237060547
2025-09-27,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,72,65.2,-6.8000030517578125
2025-09-28,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,77,66.4,-10.599998474121094
2025-09-29,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,49,50.6,1.5999984741210938
2025-09-30,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,54,51.3,-2.700000762939453
2025-10-01,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2879.04,71,62.4,-8.599998474121094
2025-10-02,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2549.15,113,93.5,-19.5
2025-10-03,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,70,67.7,-2.3000030517578125
2025-10-04,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2849.05,114,108.1,-5.900001525878906
2025-10-05,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,76,80.6,4.599998474121094
2025-10-06,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2879.04,73,62.4,-10.599998474121094
2025-10-07,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,62,62.3,0.2999992370605469
2025-10-08,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,67,63.0,-4.0
2025-10-09,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,62,64.4,2.4000015258789062
2025-10-10,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2849.05,109,98.9,-10.099998474121094
2025-10-11,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2549.15,133,137.8,4.8000030517578125
2025-10-12,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2939.02,81,88.1,7.099998474121094
2025-10-13,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,74,65.9,-8.099998474121094
2025-10-14,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2849.05,99,93.0,-6.0
2025-10-15,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2699.1,114,105.7,-8.300003051757812
2025-10-16,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,83,72.2,-10.800003051757812
2025-10-17,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2939.02,65,88.6,23.599998474121094
2025-10-18,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,84,89.3,5.3000030517578125
2025-10-19,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2879.04,108,98.1,-9.900001525878906
2025-10-20,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2699.1,87,109.6,22.599998474121094
2025-10-21,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2879.04,83,77.2,-5.8000030517578125
2025-10-22,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,75,72.2,-2.8000030517578125
2025-10-23,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,69,73.4,4.400001525878906
2025-10-24,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,78,81.2,3.1999969482421875
2025-10-25,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,77,92.7,15.699996948242188
2025-10-26,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2939.02,97,95.5,-1.5
2025-10-27,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,60,74.8,14.800003051757812
2025-10-28,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,73,72.3,-0.6999969482421875
2025-10-29,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,71,73.4,2.4000015258789062
2025-10-30,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,75,76.1,1.0999984741210938
2025-10-31,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,82,83.8,1.8000030517578125
2025-11-01,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2549.15,126,142.6,16.600006103515625
2025-11-02,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,87,86.3,-0.6999969482421875
2025-11-03,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,94,68.1,-25.900001525878906
2025-11-04,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2849.05,84,94.8,10.800003051757812
2025-11-05,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,82,70.5,-11.5
2025-11-06,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,70,71.1,1.0999984741210938
2025-11-07,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,68,81.9,13.900001525878906
2025-11-08,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,103,88.8,-14.199996948242188
2025-11-09,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2699.1,140,141.5,1.5
2025-11-10,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2849.05,77,98.1,21.099998474121094
2025-11-11,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,60,73.4,13.400001525878906
2025-11-12,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,64,70.5,6.5
2025-11-13,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,68,69.0,1.0
2025-11-14,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,74,75.9,1.9000015258789062
2025-11-15,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2699.1,149,129.8,-19.199996948242188
2025-11-16,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2939.02,103,93.0,-10.0
2025-11-17,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,71,70.0,-1.0
2025-11-18,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,80,68.9,-11.099998474121094
2025-11-19,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,70,69.6,-0.40000152587890625
2025-11-20,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2549.15,133,120.6,-12.400001525878906
2025-11-21,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2699.1,130,133.4,3.399993896484375
2025-11-22,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,92,96.5,4.5
2025-11-23,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,124,95.9,-28.099998474121094
2025-11-24,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2549.15,119,119.7,0.6999969482421875
2025-11-25,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2699.1,101,115.1,14.099998474121094
2025-11-26,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,65,79.9,14.900001525878906
2025-11-27,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2999.0,85,79.3,-5.6999969482421875
2025-11-28,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2549.15,143,146.1,3.100006103515625
2025-11-29,PROD_01,Wireless Noise-Canceling Headphones,STORE_01,Electronics,2939.02,109,110.7,1.6999969482421875
